Agency Name,County,Item Name,Quantity,Unit Cost,Ship Date
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,4,153.86,3/30/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,5,153.86,3/8/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,7,0.00,10/10/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,3,0.00,10/10/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,255,290.02,9/9/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,20,19.39,4/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,12,3740.45,4/26/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,300,896.71,8/2/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,36,217.98,12/6/13
LAKEHURST POLICE DEPT,OCEAN,FLASHLIGHT,3,10.88,9/10/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,FLASHLIGHT,10,295.48,3/7/14
BELMAR POLICE DEPT,MONMOUTH,FLAT PANEL MONITOR,85,225.00,12/11/13
BRICK TOWNSHIP POLICE DEPT,OCEAN,FLAT PANEL MONITOR,15,225.00,12/17/13
CINNAMINSON TOWNSHIP POLICE DEPT,BURLINGTON,FLAT PANEL MONITOR,10,225.00,12/11/13
EATONTOWN POLICE DEPT,MONMOUTH,FLAT PANEL MONITOR,12,225.00,12/11/13
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH,FLAT PANEL MONITOR,8,225.00,12/17/13
JACKSON TWP POLICE DEPT,OCEAN,FLAT PANEL MONITOR,75,225.00,12/9/13
KEANSBURG POLICE DEPT,MONMOUTH,FLAT PANEL MONITOR,7,225.00,12/13/13
LITTLE SILVER POLICE DEPT,MONMOUTH,FLAT PANEL MONITOR,12,225.00,12/10/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,FLAT PANEL MONITOR,5,225.00,12/10/13
NEPTUNE CITY POLICE DEPT,MONMOUTH,FLAT PANEL MONITOR,10,225.00,12/16/13
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,FLAT PANEL MONITOR,12,225.00,12/17/13
POINT PLEASANT POLICE DEPT,OCEAN,FLAT PANEL MONITOR,10,225.00,12/16/13
AVALON POLICE DEPT,CAPE MAY,"FLOODLIGHT SET,ELECTRIC",5,18400.00,12/12/13
BELMAR POLICE DEPT,MONMOUTH,"FLOODLIGHT SET,ELECTRIC",1,12000.00,9/19/13
LAKEHURST POLICE DEPT,OCEAN,"FLOODLIGHT SET,ELECTRIC",2,12000.00,12/23/13
LITTLE SILVER POLICE DEPT,MONMOUTH,"FLOODLIGHT SET,ELECTRIC",2,18400.00,12/2/13
NEPTUNE CITY POLICE DEPT,MONMOUTH,"FLOODLIGHT SET,ELECTRIC",2,18400.00,12/3/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"FLOODLIGHT SET,ELECTRIC",1,18400.00,12/13/13
WILDWOOD POLICE DEPT,CAPE MAY,"FLOODLIGHT SET,ELECTRIC",1,0.00,9/26/13
WILDWOOD POLICE DEPT,CAPE MAY,"FLOODLIGHT SET,ELECTRIC",1,0.00,9/26/13
BELMAR POLICE DEPT,MONMOUTH,"FLOODLIGHT SET,TRAILER MOUNTED",1,4489.00,7/30/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"FLOODLIGHT SET,TRAILER MOUNTED",1,4489.00,3/6/13
TINTON FALLS POLICE DEPT,MONMOUTH,"FLOODLIGHT SET,TRAILER MOUNTED",1,4489.00,2/6/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FLOOR,TENT",8,161.85,3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FLOOR,TENT",6,315.58,3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FORCED ENTRY AND RESCUE EQUIPMENT,AIRCRAFT CRASH",1,0.00,3/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FORCEPS,TISSUE",120,26.39,3/31/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FORCEPS,TISSUE",1,0.00,1/16/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"FORDING KIT,DEEP WA",2,545.69,10/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FORKLIFT,1,0.00,8/1/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FORKLIFT,1,0.00,8/1/13
LAKEWOOD POLICE DEPT,OCEAN,FORKLIFT,1,18500.00,3/20/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,FORKLIFT,1,10000.00,1/22/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FRAME,FIELD PACK",10,38.45,4/8/14
KEANSBURG POLICE DEPT,MONMOUTH,FUEL CAN,15,5.81,7/8/13
BELMAR POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",6,12797.70,10/30/13
BELMAR POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",5,10700.00,9/5/13
BELMAR POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",12,10700.00,9/5/13
BELMAR POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",10,25073.00,8/30/13
BRICK TOWNSHIP POLICE DEPT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,14891.00,2/7/13
BRICK TOWNSHIP POLICE DEPT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,14891.00,2/7/13
KEANSBURG POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",1,16722.00,7/11/13
KEANSBURG POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",1,16722.00,7/11/13
KEANSBURG POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",3,3324.94,11/6/13
KEANSBURG POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",2,12801.00,5/16/13
LAKEHURST POLICE DEPT,OCEAN,"GENERATOR SET,DIESEL ENGINE",2,3324.94,11/7/13
LAKEWOOD POLICE DEPT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,13635.00,6/11/13
LAKEWOOD POLICE DEPT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,8332.00,6/12/13
MIDDLE TOWNSHIP POLICE DEPT,CAPE MAY,"GENERATOR SET,DIESEL ENGINE",1,14891.00,8/1/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",1,100.00,9/19/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",5,3324.94,11/6/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",2,3324.94,8/6/13
MONMOUTH COUNTY SHERIFF DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",4,16722.00,11/20/13
NEPTUNE CITY POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",6,26334.00,9/24/13
NEPTUNE CITY POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",4,26334.00,9/17/13
OCEAN TOWNSHIP POLICE DEPT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,4491.00,12/11/13
SEASIDE PARK POLICE DEPT,OCEAN,"GENERATOR SET,DIESEL ENGINE",3,4623.09,8/26/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",2,14891.00,11/19/13
AVON BY THE SEA POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,20415.00,11/15/13
BELLEVILLE POLICE DEPT,ESSEX,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,20810.00,5/22/13
EATONTOWN POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,12102.00,1/10/14
EATONTOWN POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,17730.00,5/21/13
KEANSBURG POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,23731.00,11/13/13
KEANSBURG POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,20810.00,5/16/13
KEANSBURG POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,20810.00,5/21/13
MIDDLE TOWNSHIP POLICE DEPT,CAPE MAY,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,20810.00,8/1/13
MIDDLE TOWNSHIP POLICE DEPT,CAPE MAY,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,20810.00,5/20/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,12102.00,5/15/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,12102.00,5/15/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,20810.00,3/8/13
MONMOUTH COUNTY SHERIFF DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,44776.00,10/25/13
NEPTUNE CITY POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,20039.00,9/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"GENERATOR SET,GASOLINE ENGINE",2,1511.25,8/5/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GENERATOR,ENGINE ACCESSORY",6,4630.00,8/13/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"GENERATORS AND GENERATOR SETS, ELECTRICA",1,2500.00,4/23/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"GENERATORS AND GENERATOR SETS, ELECTRICA",2,2500.00,4/23/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"GENERATORS AND GENERATOR SETS, ELECTRICA",2,350.00,12/12/13
AVON BY THE SEA POLICE DEPT,MONMOUTH,"GLOVE,PATIENT EXAMINING",2,17.82,11/15/13
MARLBORO TOWNSHIP POLICE DEPT,MONMOUTH,GLOW PLUG,3,99.98,3/5/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,GLOW PLUG,10,60.46,3/21/13
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"GOGGLES,BALLISTIC",40,43.86,3/12/14
EATONTOWN POLICE DEPT,MONMOUTH,"GOGGLES,BALLISTIC",50,43.86,12/4/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"GOGGLES,BALLISTIC",300,43.86,3/27/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"GOGGLES,BALLISTIC",20,43.86,9/6/13
KEANSBURG POLICE DEPT,MONMOUTH,"GOGGLES,BALLISTIC",33,43.86,11/26/13
LITTLE SILVER POLICE DEPT,MONMOUTH,"GOGGLES,BALLISTIC",16,43.86,11/22/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GOGGLES,BALLISTIC",50,43.86,8/26/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GOGGLES,BALLISTIC",100,43.86,11/13/13
TINTON FALLS POLICE DEPT,MONMOUTH,"GOGGLES,BALLISTIC",45,43.86,1/17/14
CAPE MAY COUNTY PROSECUTOR,CAPE MAY,"GOGGLES,INDUSTRIAL",1,63.17,1/8/14
CAPE MAY COUNTY PROSECUTOR,CAPE MAY,"GOGGLES,INDUSTRIAL",15,63.17,1/8/14
LAKEHURST POLICE DEPT,OCEAN,"GOGGLES,INDUSTRIAL",20,63.17,5/22/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"GOGGLES,INDUSTRIAL",25,57.28,7/2/13
SEASIDE PARK POLICE DEPT,OCEAN,"GOGGLES,INDUSTRIAL",15,57.28,11/12/13
NEPTUNE CITY POLICE DEPT,MONMOUTH,"GOGGLES,SUN,WIND AND DUST",20,24.44,11/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"GRINDER,PNEUMATIC,VERTICAL",1,725.27,4/11/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HAND TOOLS, POWER DRIVEN",1,500.00,3/29/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"HAND TOOLS, POWER DRIVEN",2,3500.00,7/26/13
OCEANPORT POLICE DEPT,MONMOUTH,"HAND TOOLS, POWER DRIVEN",1,2500.00,9/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HAND, HEADSETS, MICS AND SPEAKERS",39,0.00,5/9/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HANDLE,SOCKET WRENCH",3,22.41,3/14/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HARDWARE KIT,NVG",25,4.19,2/20/13
LAKEHURST POLICE DEPT,OCEAN,"HARDWARE, COMMERCIAL",17,15.00,11/12/13
LAKEHURST POLICE DEPT,OCEAN,"HARDWARE, COMMERCIAL",35,15.00,7/9/13
US DHS ICE INVESTIGATIONS NEWARK,ESSEX,"HARNESS,CHEST,MEDICAL ASSAULT",5,532.93,3/31/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HARNESS,CLIMBING MOUNTAIN",9,63.75,3/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HARNESS,FLOTATION COLLAR",100,69.02,2/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HEADLAMP,MEDICAL",28,30.20,3/29/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,HEADLIGHT,6,61.52,9/9/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,HEADSET-MICROPHONE,9,795.48,5/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,HEADSET-MICROPHONE,1,2460.11,3/13/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HEADSET,ELECTRICAL",8,2633.59,4/30/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HEADSET,ELECTRICAL",76,2633.59,4/21/14
TINTON FALLS POLICE DEPT,MONMOUTH,"HEATER,SPACE,ELECTRIC",5,95.79,3/7/14
UNDISCLOSED BY DLA,ESSEX,"HELICOPTER,OBSERVATION",1,92290.00,2/18/09
UNDISCLOSED BY DLA,ESSEX,"HELICOPTER,OBSERVATION",1,92290.00,2/18/09
UNDISCLOSED BY DLA,MERCER,"HELICOPTER,OBSERVATION",1,92290.00,6/6/06
UNDISCLOSED BY DLA,ESSEX,"HELMET,EXPLOSIVE ORDNANCE DISPOSAL",18,8727.00,3/28/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HELMET,WELDER'S",1,57.81,4/11/13
LONG BRANCH POLICE DEPT,MONMOUTH,"HOIST,MAINTENANCE",1,131580.00,11/14/12
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HOLDER,LIGHT",200,32.58,6/2/14
LAKEHURST POLICE DEPT,OCEAN,"HOLSTER,PISTOL",8,27.48,7/23/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,HOOK AND LINE KIT,1,3612.00,3/14/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,HOOK AND LINE SET,3,3600.00,6/2/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,HOOK AND LINE SET,5,3600.00,5/6/14
MIDDLE TOWNSHIP POLICE DEPT,CAPE MAY,HOSPITAL CART,1,3500.00,1/14/14
LAKEWOOD POLICE DEPT,OCEAN,HUB,7,435.00,4/15/13
UNDISCLOSED BY DLA,ESSEX,"ILLUMINATOR,INFRARED",5,1040.53,5/10/13
UNDISCLOSED BY DLA,ESSEX,"ILLUMINATOR,INFRARED",6,2312.88,9/5/13
UNDISCLOSED BY DLA,ESSEX,"ILLUMINATOR,INFRARED",10,7786.31,4/17/13
UNDISCLOSED BY DLA,ESSEX,"ILLUMINATOR,INFRARED",13,756.38,2/5/13
UNDISCLOSED BY DLA,ESSEX,"ILLUMINATOR,INFRARED",2,1614.65,2/7/13
UNDISCLOSED BY DLA,ESSEX,"ILLUMINATOR,INFRARED",15,0.00,3/8/13
UNDISCLOSED BY DLA,ESSEX,"ILLUMINATOR,INFRARED",25,1800.00,12/10/13
UNDISCLOSED BY DLA,ESSEX,"ILLUMINATOR,INFRARED",44,1800.00,10/31/13
UNDISCLOSED BY DLA,ESSEX,"ILLUMINATOR,INTEGRATED,SMALL ARMS",126,350.00,12/10/13
UNDISCLOSED BY DLA,ESSEX,"IMAGE INTENSIFIER,NIGHT VISION",6,6392.00,5/10/13
UNDISCLOSED BY DLA,ESSEX,"IMAGE INTENSIFIER,NIGHT VISION",3,6392.00,3/4/13
UNDISCLOSED BY DLA,ESSEX,"IMAGE INTENSIFIER,NIGHT VISION",5,4367.83,1/31/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,INDIVIDUAL EQUIPMENT KIT,278,1273.08,7/2/14
KEANSBURG POLICE DEPT,MONMOUTH,"INDUSTRIAL SEWING MACH, MOBILE TEXTILE",1,1300.00,5/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"INSERT,BACKPACK,MEDICAL",1,132.13,3/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"INSERT,BACKPACK,MEDICAL",55,132.13,4/11/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"INTERFACE SYSTEM,RAIL",20,0.00,2/21/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"INTRENCHING TOOL,HAND",20,118.21,9/6/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"INTRENCHING TOOL,HAND",19,0.00,7/25/13
JACKSON TWP POLICE DEPT,OCEAN,"INTRENCHING TOOL,HAND",50,118.21,1/13/14
TINTON FALLS POLICE DEPT,MONMOUTH,"INTRENCHING TOOL,HAND",31,118.21,1/24/14
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,JACK,3,985.00,1/9/14
OCEAN TOWNSHIP POLICE DEPT,OCEAN,"JACK,DOLLY TYPE,HYDRAULIC",1,1825.00,1/6/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,DUAL,COM,LF,RG",5,1174.20,3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,DUAL,COM,LF,RG",4,1174.20,3/4/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,FSBE,INDIVIDUAL A",5,6777.26,5/21/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,FSBE,INDIVIDUAL B",1,1321.15,12/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,FSBE,PLATOON B",8,80919.98,2/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,LIGHT SET TENT",6,574.94,4/12/13
LAKEHURST POLICE DEPT,OCEAN,"KIT,M14,M16 RIFLE M",15,69.25,10/31/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,MODERN ARMY COMBATIVES",1,14463.67,5/27/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,MODERN ARMY COMBATIVES",2,14463.67,6/6/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,MODERN ARMY COMBATIVES",1,14463.67,12/23/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,MODERN ARMY COMBATIVES",2,14463.67,10/28/13
LAKEHURST POLICE DEPT,OCEAN,"KIT,MTG FLASHLIGHT",15,62.91,9/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,PERCUSSIVE RESCUE TOOL",1,0.00,4/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,SINGLE,COMM,L,R",7,984.30,3/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,TACTICAL TRIPOD",10,1217.00,2/5/13
EATONTOWN POLICE DEPT,MONMOUTH,"KITCHEN,FIELD,TRAILER MOUNTED",1,145000.00,6/5/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,KNEE AND ELBOW PAD SYSTEM,51,27.98,9/6/13
BELMAR POLICE DEPT,MONMOUTH,"KNIFE,COMBAT,WITH SHEATH",100,35.79,12/11/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KRILL LAMP,180X YEL",19,25.70,4/5/13
POINT PLEASANT BEACH POLICE DEPT,OCEAN,KVL3000 KEYLOADER,1,2173.00,9/25/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,KVL3000 KEYLOADER,1,2173.00,9/25/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,KVL3000 KEYLOADER,1,2173.00,9/25/11
LAKEHURST POLICE DEPT,OCEAN,LAB INSTRUMENT TEST EQUIPMENT,1,125000.00,6/27/13
JACKSON TWP POLICE DEPT,OCEAN,"LADDER, SCAFFOLDING EQUIP, CONCRETE FORM",7,75.00,12/19/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LADDER,TACTICAL ASSAULT",12,1165.03,11/26/13
KEANSBURG POLICE DEPT,MONMOUTH,"LADDER,VEHICLE BOARDING",3,1445.30,6/4/13
LITTLE SILVER POLICE DEPT,MONMOUTH,"LADDER,VEHICLE BOARDING",1,200.00,2/27/14
LITTLE SILVER POLICE DEPT,MONMOUTH,"LADDER,VEHICLE BOARDING",1,200.00,2/27/14
LITTLE SILVER POLICE DEPT,MONMOUTH,"LADDER,VEHICLE BOARDING",2,1445.30,3/6/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"LADDER,VEHICLE BOARDING",3,1445.30,6/5/13
TINTON FALLS POLICE DEPT,MONMOUTH,"LADDER,VEHICLE BOARDING",1,200.00,2/28/14
TINTON FALLS POLICE DEPT,MONMOUTH,"LADDER,VEHICLE BOARDING",1,200.00,2/28/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LAMP,HEAD,EMERGENCY USE",300,39.61,3/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LAMP,INCANDESCENT",9,339.78,3/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LANYARD,SAFETY,INDUSTRIAL",25,0.00,4/17/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,LAPTOP CASE,2,100.00,9/19/13
UNDISCLOSED BY DLA,BERGEN                   ,"LAUNCHER,GRENADE",1,720.00,10/2/08
JACKSON TWP POLICE DEPT,OCEAN,"LAWN MOWER, RIDING",1,11157.00,12/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LENS ASSEMBLY,OBJE",2,254.49,2/5/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"LENS,CAMERA,GENERAL PHOTOGRAPHIC",1,0.00,9/30/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIFE PRESERVER,UNDERARM",7,302.00,8/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIFE PRESERVER,UNDERARM",7,302.00,8/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIFE PRESERVER,VEST",295,261.28,8/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIFE PRESERVER,VEST",66,261.28,9/19/13
WALL TOWNSHIP POLICE DEPT,MONMOUTH,"LIFE PRESERVER,VEST",24,871.14,12/26/13
UNDISCLOSED BY DLA,ESSEX,"LIGHT AIMING KIT,INFRARED",27,545.69,2/26/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"LIGHT KIT,WEAPONS",2,7204.38,3/6/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"LIGHT KIT,WEAPONS",2,7204.38,3/6/14
TINTON FALLS POLICE DEPT,MONMOUTH,"LIGHT KIT,WEAPONS",2,7204.38,3/13/14
TINTON FALLS POLICE DEPT,MONMOUTH,"LIGHT KIT,WEAPONS",2,7204.38,3/13/14
TINTON FALLS POLICE DEPT,MONMOUTH,"LIGHT KIT,WEAPONS",2,7204.38,3/13/14
BELMAR POLICE DEPT,MONMOUTH,"LIGHT SET,GENERAL ILLUMINATION",14,928.57,11/15/13
WALL TOWNSHIP POLICE DEPT,MONMOUTH,"LIGHT SET,GENERAL ILLUMINATION",1,5652.00,1/15/14
LAKEHURST POLICE DEPT,OCEAN,"LIGHT,CHEMILUMINESCENT",4,33.74,10/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIGHT,MARKER,FIELD,PORTABLE",12,115.30,6/11/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIGHT,MARKER,GROUND OBSTRUCTION",6,289.47,2/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIGHT,MTD HELMET EP",10,178.21,2/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIGHT,SIGNAL",300,162.31,2/10/14
WALL TOWNSHIP POLICE DEPT,MONMOUTH,LIGHTWEIGHT MAINTENANCE ENCLOSURE (LME) GREEN,1,8865.10,12/11/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LINER,COLD WEATHER COAT",32,21.48,11/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LINER,COLD WEATHER COAT",3,21.48,11/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LITTER TAGLINE,MMS KIT,HELICOPTER",2,375.45,5/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LITTER,DECONTAMINATION,MASS CASUALTY",2,446.15,3/29/13
WALL TOWNSHIP POLICE DEPT,MONMOUTH,"LITTER,EVACUATION",2,749.35,12/11/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"LITTER,FOLDING,RIGID POLE",2,317.13,3/5/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"LITTER,FOLDING,RIGID POLE",2,317.13,3/5/14
TINTON FALLS POLICE DEPT,MONMOUTH,"LITTER,FOLDING,RIGID POLE",2,317.13,2/20/14
JACKSON TWP POLICE DEPT,OCEAN,"LITTER,RIGID,STOKES",4,0.00,11/21/13
KEANSBURG POLICE DEPT,MONMOUTH,"LOADER,SCOOP TYPE",1,128900.00,12/6/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"LOADER,SCOOP TYPE",1,75450.00,7/10/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"LOADER,SCOOP TYPE",1,75450.00,7/2/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"LOADER,SCOOP TYPE",1,75450.00,7/9/13
WILDWOOD POLICE DEPT,CAPE MAY,"LOADER,SCOOP TYPE",1,58890.00,5/21/13
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"MAGAZINE,CARTRIDGE",50,9.98,3/20/14
CAPE MAY COUNTY PROSECUTOR,CAPE MAY,"MAGAZINE,CARTRIDGE",100,9.98,1/8/14
LAKEHURST POLICE DEPT,OCEAN,"MAGAZINE,CARTRIDGE",9,9.98,10/29/13
LAKEHURST POLICE DEPT,OCEAN,"MAGAZINE,CARTRIDGE",2,9.98,7/23/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"MAGAZINE,CARTRIDGE",40,9.98,11/13/13
